danceability	band	value
0.06	al_rumbo_spotipy	0
0.06	arenal_spotipy	0
0.06	bbk_spotipy	0,003403676
0.06	cruilla_spotipy	0,001606610
0.06	download_spotipy	0,002636204
0.06	dreambeach_spotipy	0
0.06	fib_spotipy	0,001799949
0.06	low_spotipy	0,001792918
0.06	madcool_spotipy	0,003133088
0.06	ps_spotipy	0,006962334
0.06	ressurrection_fest_spotipy	0,002052335
0.06	rock_fest_bcn_spotipy	0,005966587
0.06	sonar_spotipy	0,001989390
0.06	vida_spotipy	0,002876318
0.06	wam_murcia_spotipy	0,001192606
0.08	al_rumbo_spotipy	0
0.08	arenal_spotipy	0,000824402
0.08	bbk_spotipy	0,000680735
0.08	cruilla_spotipy	0,001147579
0.08	download_spotipy	0,005623902
0.08	dreambeach_spotipy	0
0.08	fib_spotipy	0,002314220
0.08	low_spotipy	0,005378754
0.08	madcool_spotipy	0,005312628
0.08	ps_spotipy	0,006266100
0.08	ressurrection_fest_spotipy	0,009543356
0.08	rock_fest_bcn_spotipy	0,008027772
0.08	sonar_spotipy	0,003978780
0.08	vida_spotipy	0,003355705
0.08	wam_murcia_spotipy	0,001192606
0.11	al_rumbo_spotipy	0
0.11	arenal_spotipy	0,001374004
0.11	bbk_spotipy	0,003403676
0.11	cruilla_spotipy	0,007574019
0.11	download_spotipy	0,009490334
0.11	dreambeach_spotipy	0,000489356
0.11	fib_spotipy	0,006171252
0.11	low_spotipy	0,003585836
0.11	madcool_spotipy	0,005857513
0.11	ps_spotipy	0,009816891
0.11	ressurrection_fest_spotipy	0,013134941
0.11	rock_fest_bcn_spotipy	0,012367108
0.11	sonar_spotipy	0,006410256
0.11	vida_spotipy	0,003355705
0.11	wam_murcia_spotipy	0,005068575
0.14	al_rumbo_spotipy	0
0.14	arenal_spotipy	0,001374004
0.14	bbk_spotipy	0,005105514
0.14	cruilla_spotipy	0,003901767
0.14	download_spotipy	0,017047452
0.14	dreambeach_spotipy	0,000978713
0.14	fib_spotipy	0,013371047
0.14	low_spotipy	0,009412819
0.14	madcool_spotipy	0,009671707
0.14	ps_spotipy	0,017893198
0.14	ressurrection_fest_spotipy	0,022267830
0.14	rock_fest_bcn_spotipy	0,021479714
0.14	sonar_spotipy	0,011052166
0.14	vida_spotipy	0,011025887
0.14	wam_murcia_spotipy	0,008050089
0.17	al_rumbo_spotipy	0
0.17	arenal_spotipy	0,003847211
0.17	bbk_spotipy	0,014976174
0.17	cruilla_spotipy	0,007344503
0.17	download_spotipy	0,027768014
0.17	dreambeach_spotipy	0,001223391
0.17	fib_spotipy	0,015942402
0.17	low_spotipy	0,020618557
0.17	madcool_spotipy	0,015256777
0.17	ps_spotipy	0,024994778
0.17	ressurrection_fest_spotipy	0,039917907
0.17	rock_fest_bcn_spotipy	0,026469950
0.17	sonar_spotipy	0,014809903
0.17	vida_spotipy	0,021093001
0.17	wam_murcia_spotipy	0,009242695
0.19	al_rumbo_spotipy	0,000540249
0.19	arenal_spotipy	0,005770816
0.19	bbk_spotipy	0,011232131
0.19	cruilla_spotipy	0,006196924
0.19	download_spotipy	0,037082601
0.19	dreambeach_spotipy	0,001468069
0.19	fib_spotipy	0,022627925
0.19	low_spotipy	0,021066786
0.19	madcool_spotipy	0,017027653
0.19	ps_spotipy	0,026596115
0.19	ressurrection_fest_spotipy	0,050179579
0.19	rock_fest_bcn_spotipy	0,039162508
0.19	sonar_spotipy	0,008841733
0.19	vida_spotipy	0,024448706
0.19	wam_murcia_spotipy	0,011329756
0.22	al_rumbo_spotipy	0,001080497
0.22	arenal_spotipy	0,009618027
0.22	bbk_spotipy	0,026208305
0.22	cruilla_spotipy	0,010328207
0.22	download_spotipy	0,047803163
0.22	dreambeach_spotipy	0,004404208
0.22	fib_spotipy	0,019799434
0.22	low_spotipy	0,032272524
0.22	madcool_spotipy	0,022340281
0.22	ps_spotipy	0,035229409
0.22	ressurrection_fest_spotipy	0,063622370
0.22	rock_fest_bcn_spotipy	0,045129095
0.22	sonar_spotipy	0,015915119
0.22	vida_spotipy	0,033077661
0.22	wam_murcia_spotipy	0,014609422
0.25	al_rumbo_spotipy	0,002160994
0.25	arenal_spotipy	0,010167628
0.25	bbk_spotipy	0,021443159
0.25	cruilla_spotipy	0,011246270
0.25	download_spotipy	0,050615114
0.25	dreambeach_spotipy	0,006361634
0.25	fib_spotipy	0,028799177
0.25	low_spotipy	0,020618557
0.25	madcool_spotipy	0,020433183
0.25	ps_spotipy	0,039267562
0.25	ressurrection_fest_spotipy	0,066906106
0.25	rock_fest_bcn_spotipy	0,045996962
0.25	sonar_spotipy	0,013925729
0.25	vida_spotipy	0,021572387
0.25	wam_murcia_spotipy	0,020274299
0.28	al_rumbo_spotipy	0,004321988
0.28	arenal_spotipy	0,011541632
0.28	bbk_spotipy	0,023144997
0.28	cruilla_spotipy	0,008492082
0.28	download_spotipy	0,050439367
0.28	dreambeach_spotipy	0,007585026
0.28	fib_spotipy	0,033170481
0.28	low_spotipy	0,030927835
0.28	madcool_spotipy	0,025064705
0.28	ps_spotipy	0,042470236
0.28	ressurrection_fest_spotipy	0,070497691
0.28	rock_fest_bcn_spotipy	0,052072033
0.28	sonar_spotipy	0,019230769
0.28	vida_spotipy	0,016778523
0.28	wam_murcia_spotipy	0,016100179
0.30	al_rumbo_spotipy	0,011885467
0.30	arenal_spotipy	0,018961253
0.30	bbk_spotipy	0,026889040
0.30	cruilla_spotipy	0,008721597
0.30	download_spotipy	0,050263620
0.30	dreambeach_spotipy	0,007585026
0.30	fib_spotipy	0,031370532
0.30	low_spotipy	0,030031376
0.30	madcool_spotipy	0,030922218
0.30	ps_spotipy	0,044280443
0.30	ressurrection_fest_spotipy	0,065572088
0.30	rock_fest_bcn_spotipy	0,059557388
0.30	sonar_spotipy	0,021441202
0.30	vida_spotipy	0,029721956
0.30	wam_murcia_spotipy	0,024150268
0.33	al_rumbo_spotipy	0,009184225
0.33	arenal_spotipy	0,016213245
0.33	bbk_spotipy	0,024846835
0.33	cruilla_spotipy	0,015148038
0.33	download_spotipy	0,052372583
0.33	dreambeach_spotipy	0,018840225
0.33	fib_spotipy	0,044741579
0.33	low_spotipy	0,042133572
0.33	madcool_spotipy	0,032965536
0.33	ps_spotipy	0,045394416
0.33	ressurrection_fest_spotipy	0,062288353
0.33	rock_fest_bcn_spotipy	0,066825776
0.33	sonar_spotipy	0,026304156
0.33	vida_spotipy	0,034995206
0.33	wam_murcia_spotipy	0,037268933
0.36	al_rumbo_spotipy	0,016747704
0.36	arenal_spotipy	0,025831272
0.36	bbk_spotipy	0,041524847
